"Police Force Area
 code","Police Force Area
 name","Community Safety
 Partnership code","Community Safety
 Partnership name","Local Authority
 code","Local Authority
 name","Total recorded crime
 (excluding fraud)","Violence against
 the person",Homicide,"Death or serious
 injury caused by
 illegal driving",Violence with injury,Violence without injury,Stalking and harassment,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes against society
E23000037,Gloucestershire,E22000096,Gloucester,E07000081,Gloucester,"15,277 ","7,052 ",4 ,0 ,"1,995 ","2,561 ","2,492 ",551 ,133 ,"3,466 ",687 ,548 ,139 ,382 ,110 ,251 ,965 ,"1,071 ","1,336 ",451 ,122 ,"1,855 ",311 
E23000037,Gloucestershire,E22000097,Stroud,E07000082,Stroud,"6,574 ","3,017 ",3 ,0 ,714 ,"1,037 ","1,263 ",275 ,48 ,"1,377 ",306 ,210 ,96 ,297 ,22 ,44 ,205 ,503 ,747 ,143 ,41 ,750 ,176 
E23000037,Gloucestershire,E22000098,Tewkesbury,E07000083,Tewkesbury,"4,817 ","2,170 ",2 ,4 ,503 ,651 ,"1,010 ",165 ,21 ,"1,207 ",337 ,264 ,73 ,231 ,13 ,30 ,185 ,411 ,479 ,93 ,33 ,533 ,116 
E23000037,Gloucestershire,,Unassigned Gloucestershire,,,"5,315 ","2,239 ",1 ,0 ,599 ,726 ,913 ,374 ,49 ,"1,316 ",237 ,100 ,137 ,169 ,43 ,81 ,279 ,507 ,471 ,104 ,30 ,603 ,129 
E23000005,Greater Manchester,,,,,"359,421 ","135,460 ",49 ,93 ,"31,555 ","54,590 ","49,173 ","11,296 ","5,424 ","101,967 ","23,768 ","18,209 ","5,559 ","25,911 ","6,438 ","3,400 ","15,381 ","27,069 ","33,453 ","7,512 ","4,311 ","51,186 ","8,812 "
E23000005,Greater Manchester,E22000099,Bolton,E08000001,Bolton,"36,839 ","14,547 ",4 ,13 ,"3,697 ","5,350 ","5,483 ","1,150 ",518 ,"9,882 ","2,899 ","2,165 ",734 ,"2,461 ",298 ,123 ,"1,466 ","2,635 ","3,315 ",621 ,372 ,"5,635 ",799 
E23000005,Greater Manchester,E22000100,Bury,E08000002,Bury,"21,043 ","7,825 ",2 ,6 ,"1,773 ","2,904 ","3,140 ",698 ,282 ,"5,724 ","1,451 ","1,193 ",258 ,"1,521 ",200 ,109 ,958 ,"1,485 ","1,981 ",629 ,256 ,"3,170 ",478 
E23000005,Greater Manchester,E22000101,Manchester,E08000003,Manchester,"97,878 ","33,896 ",15 ,17 ,"8,284 ","15,258 ","10,322 ","3,156 ","2,151 ","31,253 ","5,949 ","4,399 ","1,550 ","7,550 ","4,079 ","1,499 ","3,558 ","8,618 ","8,254 ","2,531 ","1,232 ","13,472 ","1,933 "
E23000005,Greater Manchester,,Manchester Airport,,,962 ,103 ,0 ,0 ,10 ,81 ,12 ,19 ,2 ,568 ,9 ,0 ,9 ,185 ,48 ,10 ,66 ,250 ,45 ,13 ,33 ,102 ,77 
E23000005,Greater Manchester,E22000102,Oldham,E08000004,Oldham,"29,412 ","12,024 ",4 ,7 ,"2,611 ","5,076 ","4,326 ",898 ,412 ,"7,564 ","1,688 ","1,385 ",303 ,"2,191 ",350 ,86 ,"1,176 ","2,073 ","2,857 ",464 ,328 ,"4,018 ",847 
E23000005,Greater Manchester,E22000103,Rochdale,E08000005,Rochdale,"28,994 ","11,556 ",4 ,8 ,"2,656 ","4,233 ","4,655 ",939 ,371 ,"7,626 ","1,669 ","1,266 ",403 ,"1,995 ",223 ,94 ,"1,414 ","2,231 ","2,592 ",555 ,357 ,"4,172 ",826 
E23000005,Greater Manchester,E22000104,Salford,E08000006,Salford,"32,788 ","12,645 ",6 ,9 ,"2,812 ","5,135 ","4,683 ",999 ,365 ,"9,055 ","2,395 ","1,756 ",639 ,"2,542 ",338 ,446 ,"1,066 ","2,268 ","3,130 ",760 ,500 ,"4,310 ","1,024 "
E23000005,Greater Manchester,E22000105,Stockport,E08000007,Stockport,"25,982 ","9,409 ",2 ,5 ,"2,239 ","3,729 ","3,434 ",832 ,330 ,"7,690 ","2,350 ","1,872 ",478 ,"1,874 ",167 ,314 ,"1,208 ","1,777 ","2,770 ",423 ,261 ,"3,663 ",604 
E23000005,Greater Manchester,E22000106,Tameside,E08000008,Tameside,"27,389 ","11,560 ",4 ,6 ,"2,545 ","4,317 ","4,688 ",826 ,295 ,"6,455 ","1,549 ","1,317 ",232 ,"1,555 ",184 ,139 ,"1,056 ","1,972 ","2,581 ",579 ,379 ,"3,966 ",748 
E23000005,Greater Manchester,E22000107,Trafford,E08000009,Trafford,"19,764 ","6,805 ",2 ,5 ,"1,550 ","2,734 ","2,514 ",551 ,292 ,"6,412 ","1,424 ","1,173 ",251 ,"1,396 ",233 ,339 ,"1,528 ","1,492 ","1,626 ",376 ,196 ,"3,114 ",392 
E23000005,Greater Manchester,,Unassigned Greater Manchester,,,"1,062 ",504 ,0 ,5 ,117 ,185 ,197 ,187 ,14 ,109 ,8 ,4 ,4 ,25 ,18 ,1 ,29 ,28 ,36 ,41 ,16 ,102 ,53 
E23000005,Greater Manchester,E22000108,Wigan,E08000010,Wigan,"37,308 ","14,586 ",6 ,12 ,"3,261 ","5,588 ","5,719 ","1,041 ",392 ,"9,629 ","2,377 ","1,679 ",698 ,"2,616 ",300 ,240 ,"1,856 ","2,240 ","4,266 ",520 ,381 ,"5,462 ","1,031 "
W15000002,Gwent,,,,,"55,487 ","22,051 ",8 ,6 ,"5,974 ","7,721 ","8,342 ","1,778 ",265 ,"11,258 ","2,615 ","1,831 ",784 ,"2,349 ",179 ,295 ,"2,315 ","3,505 ","8,097 ","1,230 ",332 ,"9,049 ","1,427 "
W15000002,Gwent,W14000019,Blaenau Gwent,W06000019,Blaenau Gwent,"7,517 ","3,009 ",0 ,1 ,863 ,953 ,"1,192 ",261 ,14 ,"1,537 ",354 ,254 ,100 ,411 ,16 ,16 ,300 ,440 ,"1,170 ",86 ,42 ,"1,225 ",173 
W15000002,Gwent,W14000018,Caerphilly,W06000018,Caerphilly,"14,965 ","6,349 ",1 ,1 ,"1,728 ","2,163 ","2,456 ",517 ,41 ,"2,443 ",645 ,490 ,155 ,534 ,30 ,28 ,339 ,867 ,"2,322 ",344 ,111 ,"2,424 ",414 
W15000002,Gwent,W14000021,Monmouthshire,W06000021,Monmouthshire,"5,638 ","2,184 ",5 ,0 ,572 ,854 ,753 ,225 ,28 ,"1,168 ",266 ,194 ,72 ,212 ,15 ,19 ,234 ,422 ,755 ,181 ,26 ,938 ,133 
W15000002,Gwent,W14000022,Newport,W06000022,Newport,"18,544 ","6,931 ",1 ,3 ,"1,863 ","2,582 ","2,482 ",458 ,129 ,"4,507 ",991 ,644 ,347 ,938 ,87 ,193 ,"1,054 ","1,244 ","2,519 ",460 ,105 ,"2,961 ",474 
W15000002,Gwent,W14000020,Torfaen,W06000020,Torfaen,"8,823 ","3,578 ",1 ,1 ,948 ,"1,169 ","1,459 ",317 ,53 ,"1,603 ",359 ,249 ,110 ,254 ,31 ,39 ,388 ,532 ,"1,331 ",159 ,48 ,"1,501 ",233 
W15000002,Gwent,,Unassigned Gwent,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
E23000030,Hampshire,,,,,"174,401 ","75,762 ",14 ,26 ,"21,813 ","28,496 ","25,413 ","7,302 ","1,291 ","42,225 ","8,194 ","5,853 ","2,341 ","10,098 ",988 ,"2,602 ","8,712 ","11,631 ","15,828 ","5,252 ","2,003 ","22,162 ","2,576 "
E23000030,Hampshire,E22000110,East Hampshire,E07000085,East Hampshire,"6,740 ","2,758 ",2 ,1 ,784 ,937 ,"1,034 ",286 ,32 ,"1,840 ",396 ,282 ,114 ,485 ,41 ,37 ,239 ,642 ,727 ,182 ,54 ,792 ,69 
E23000030,Hampshire,E22000111,Eastleigh,E07000086,Eastleigh,"9,109 ","3,903 ",0 ,2 ,"1,040 ","1,465 ","1,396 ",385 ,48 ,"2,424 ",485 ,393 ,92 ,517 ,42 ,134 ,549 ,697 ,830 ,200 ,92 ,"1,109 ",118 
E23000030,Hampshire,E22000112,Fareham,E07000087,Fareham,"6,400 ","2,909 ",0 ,1 ,843 ,"1,072 ",993 ,287 ,33 ,"1,544 ",262 ,204 ,58 ,367 ,36 ,114 ,341 ,424 ,570 ,137 ,70 ,771 ,79 
E23000030,Hampshire,E22000113,Gosport,E07000088,Gosport,"7,294 ","3,607 ",0 ,0 ,"1,019 ","1,315 ","1,273 ",291 ,34 ,"1,365 ",203 ,146 ,57 ,277 ,23 ,123 ,336 ,403 ,713 ,196 ,75 ,903 ,110 
E23000030,Hampshire,E22000115,Havant,E07000090,Havant,"10,604 ","5,151 ",0 ,2 ,"1,355 ","1,858 ","1,936 ",470 ,73 ,"1,973 ",311 ,231 ,80 ,385 ,52 ,74 ,523 ,628 ,924 ,269 ,125 ,"1,458 ",161 
E23000030,Hampshire,E22000116,Isle of Wight,E06000046,Isle of Wight,"11,221 ","5,527 ",1 ,2 ,"1,589 ","1,981 ","1,954 ",579 ,56 ,"1,590 ",249 ,154 ,95 ,186 ,46 ,33 ,343 ,733 ,"1,044 ",432 ,138 ,"1,666 ",189 
E23000030,Hampshire,E22000117,New Forest,E07000091,New Forest,"12,129 ","4,552 ",3 ,4 ,"1,225 ","1,674 ","1,646 ",464 ,47 ,"3,725 ","1,139 ",824 ,315 ,946 ,44 ,183 ,459 ,954 ,"1,291 ",308 ,101 ,"1,469 ",172 
E23000030,Hampshire,E22000374,North Hampshire,Combined Local Authorities,,"24,801 ","11,155 ",3 ,5 ,"3,275 ","4,257 ","3,615 ","1,077 ",167 ,"5,549 ","1,048 ",703 ,345 ,"1,298 ",140 ,184 ,"1,099 ","1,780 ","2,327 ",774 ,291 ,"3,053 ",408 
E23000030,Hampshire,E22000118,Portsmouth,E06000044,Portsmouth,"28,136 ","12,179 ",1 ,2 ,"3,664 ","4,779 ","3,733 ","1,005 ",300 ,"6,962 ",973 ,739 ,234 ,"1,561 ",164 ,670 ,"2,030 ","1,564 ","2,386 ","1,054 ",373 ,"3,543 ",334 
E23000030,Hampshire,E22000120,Southampton,E06000045,Southampton,"34,960 ","14,945 ",1 ,4 ,"4,421 ","5,858 ","4,661 ","1,367 ",370 ,"8,748 ","1,687 ","1,289 ",398 ,"2,194 ",266 ,680 ,"1,845 ","2,076 ","2,990 ","1,042 ",468 ,"4,518 ",512 
E23000030,Hampshire,E22000121,Test Valley,E07000093,Test Valley,"8,624 ","3,753 ",3 ,1 ,"1,091 ","1,395 ","1,263 ",432 ,57 ,"2,192 ",583 ,371 ,212 ,579 ,51 ,61 ,262 ,656 ,676 ,243 ,79 ,"1,024 ",168 
E23000030,Hampshire,,Unassigned Hampshire,,,"5,920 ","2,244 ",0 ,0 ,597 ,763 ,884 ,315 ,39 ,"1,696 ",312 ,120 ,192 ,416 ,39 ,109 ,359 ,461 ,496 ,156 ,70 ,806 ,98 
E23000030,Hampshire,E22000122,Winchester,E07000094,Winchester,"8,463 ","3,079 ",0 ,2 ,910 ,"1,142 ","1,025 ",344 ,35 ,"2,617 ",546 ,397 ,149 ,887 ,44 ,200 ,327 ,613 ,854 ,259 ,67 ,"1,050 ",158 
E23000027,Hertfordshire,,,,,"75,030 ","27,634 ",11 ,17 ,"8,777 ","12,508 ","6,321 ","2,596 ",588 ,"27,122 ","3,608 ","2,464 ","1,144 ","7,169 ","1,168 ","1,031 ","6,106 ","8,040 ","7,449 ","2,495 ",548 ,"5,214 ","1,384 "
E23000027,Hertfordshire,E22000123,Broxbourne,E07000095,Broxbourne,"6,088 ","2,275 ",0 ,2 ,685 ,"1,004 ",584 ,156 ,73 ,"2,243 ",321 ,246 ,75 ,598 ,123 ,72 ,475 ,654 ,563 ,227 ,46 ,367 ,138 
E23000027,Hertfordshire,E22000124,Dacorum,E07000096,Dacorum,"9,287 ","3,313 ",1 ,4 ,"1,115 ","1,466 ",727 ,291 ,66 ,"3,507 ",459 ,306 ,153 ,877 ,98 ,73 ,977 ,"1,023 ",978 ,308 ,64 ,581 ,179 
E23000027,Hertfordshire,E22000125,East Hertfordshire,E07000242,East Hertfordshire,"7,326 ","2,768 ",1 ,1 ,"1,012 ","1,147 ",607 ,284 ,43 ,"2,385 ",391 ,266 ,125 ,600 ,91 ,63 ,503 ,737 ,870 ,287 ,36 ,507 ,146 
E23000027,Hertfordshire,E22000126,Hertsmere,E07000098,Hertsmere,"7,360 ","2,377 ",3 ,1 ,736 ,"1,079 ",558 ,188 ,69 ,"3,136 ",454 ,302 ,152 ,890 ,75 ,55 ,609 ,"1,053 ",674 ,218 ,44 ,544 ,110 
E23000027,Hertfordshire,E22000127,North Hertfordshire,E07000099,North Hertfordshire,"6,174 ","2,452 ",1 ,4 ,777 ,"1,071 ",599 ,258 ,38 ,"1,858 ",318 ,207 ,111 ,431 ,86 ,66 ,324 ,633 ,753 ,207 ,50 ,428 ,130 
E23000027,Hertfordshire,E22000128,St Albans,E07000240,St Albans,"8,143 ","2,910 ",1 ,2 ,958 ,"1,351 ",598 ,248 ,32 ,"3,283 ",391 ,252 ,139 ,906 ,100 ,138 ,835 ,913 ,707 ,210 ,62 ,543 ,148 
E23000027,Hertfordshire,E22000129,Stevenage,E07000243,Stevenage,"8,319 ","3,216 ",1 ,0 ,947 ,"1,482 ",786 ,319 ,57 ,"2,673 ",238 ,162 ,76 ,793 ,95 ,89 ,744 ,714 ,803 ,301 ,62 ,733 ,155 
E23000027,Hertfordshire,E22000130,Three Rivers,E07000102,Three Rivers,"4,379 ","1,685 ",0 ,1 ,507 ,777 ,400 ,164 ,20 ,"1,509 ",273 ,236 ,37 ,495 ,24 ,32 ,227 ,458 ,457 ,146 ,40 ,278 ,80 
E23000027,Hertfordshire,,Unassigned Hertfordshire,,,720 ,296 ,0 ,0 ,68 ,85 ,143 ,71 ,4 ,154 ,30 ,14 ,16 ,39 ,11 ,7 ,12 ,55 ,50 ,62 ,5 ,34 ,44 
E23000027,Hertfordshire,E22000131,Watford,E07000103,Watford,"8,744 ","3,056 ",1 ,0 ,"1,025 ","1,495 ",535 ,305 ,130 ,"3,555 ",324 ,200 ,124 ,918 ,338 ,283 ,757 ,935 ,733 ,211 ,67 ,587 ,100 
E23000027,Hertfordshire,E22000132,Welwyn Hatfield,E07000241,Welwyn Hatfield,"8,490 ","3,286 ",2 ,2 ,947 ,"1,551 ",784 ,312 ,56 ,"2,819 ",409 ,273 ,136 ,622 ,127 ,153 ,643 ,865 ,861 ,318 ,72 ,612 ,154 
E23000012,Humberside,,,,,"93,594 ","36,684 ",6 ,11 ,"11,230 ","13,184 ","12,253 ","3,163 ",745 ,"24,703 ","5,315 ","4,028 ","1,287 ","3,625 ",438 ,"1,916 ","6,840 ","6,569 ","11,673 ","1,742 ",492 ,"11,712 ","2,680 "
E23000012,Humberside,E22000133,East Riding of Yorkshire,E06000011,East Riding of Yorkshire,"18,849 ","7,641 ",2 ,5 ,"2,331 ","2,592 ","2,711 ",719 ,60 ,"4,900 ","1,188 ",884 ,304 ,680 ,59 ,286 ,"1,122 ","1,565 ","2,199 ",307 ,77 ,"2,479 ",467 
E23000012,Humberside,E22000134,"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of","37,877 ","14,848 ",2 ,3 ,"4,494 ","5,445 ","4,904 ","1,170 ",376 ,"10,004 ","2,093 ","1,715 ",378 ,"1,510 ",239 ,"1,015 ","2,667 ","2,480 ","4,710 ",613 ,211 ,"4,804 ","1,141 "
E23000012,Humberside,E22000135,North East Lincolnshire,E06000012,North East Lincolnshire,"18,484 ","7,212 ",0 ,0 ,"2,150 ","2,652 ","2,410 ",588 ,142 ,"4,711 ","1,000 ",694 ,306 ,663 ,52 ,357 ,"1,453 ","1,186 ","2,582 ",363 ,113 ,"2,223 ",550 
E23000012,Humberside,E22000136,North Lincolnshire,E06000013,North Lincolnshire,"14,232 ","5,408 ",2 ,2 ,"1,643 ","1,861 ","1,900 ",543 ,101 ,"3,857 ",862 ,644 ,218 ,643 ,56 ,162 ,"1,082 ","1,052 ","1,781 ",357 ,70 ,"1,685 ",430 
E23000012,Humberside,,Unassigned Humberside,,,"4,152 ","1,575 ",0 ,1 ,612 ,634 ,328 ,143 ,66 ,"1,231 ",172 ,91 ,81 ,129 ,32 ,96 ,516 ,286 ,401 ,102 ,21 ,521 ,92 
E23000032,Kent,,,,,"180,904 ","81,974 ",12 ,73 ,"18,290 ","35,818 ","27,781 ","6,920 ","1,263 ","43,407 ","6,820 ","4,914 ","1,906 ","9,443 ","1,059 ","1,047 ","11,548 ","13,490 ","21,657 ","4,143 ","1,424 ","14,367 ","5,749 "
E23000032,Kent,E22000137,Ashford,E07000105,Ashford,"11,683 ","5,040 ",0 ,6 ,"1,133 ","2,156 ","1,745 ",435 ,77 ,"3,144 ",536 ,385 ,151 ,521 ,49 ,105 ,937 ,996 ,"1,462 ",213 ,82 ,885 ,345 
E23000032,Kent,E22000138,Canterbury,E07000106,Canterbury,"15,466 ","6,759 ",1 ,4 ,"1,662 ","3,024 ","2,068 ",591 ,138 ,"3,888 ",632 ,437 ,195 ,698 ,107 ,195 ,"1,009 ","1,247 ","1,909 ",377 ,106 ,"1,285 ",413 
E23000032,Kent,E22000352,Dartford and Gravesham,Combined Local Authorities,,"24,545 ","10,085 ",2 ,6 ,"2,205 ","4,630 ","3,242 ",695 ,226 ,"7,424 ","1,023 ",743 ,280 ,"2,187 ",169 ,126 ,"1,970 ","1,949 ","2,789 ",633 ,205 ,"1,750 ",738 
E23000032,Kent,E22000140,Dover,E07000108,Dover,"10,956 ","5,516 ",0 ,5 ,"1,216 ","2,390 ","1,905 ",398 ,52 ,"2,020 ",300 ,229 ,71 ,380 ,50 ,54 ,491 ,745 ,"1,309 ",286 ,83 ,919 ,373 
E23000032,Kent,E22000145,Folkestone and Hythe,E07000112,Folkestone and Hythe,"10,048 ","4,759 ",3 ,0 ,"1,090 ","2,062 ","1,604 ",399 ,56 ,"1,983 ",301 ,215 ,86 ,309 ,62 ,39 ,531 ,741 ,"1,269 ",279 ,118 ,827 ,358 
E23000032,Kent,E22000142,Maidstone,E07000110,Maidstone,"16,159 ","7,404 ",2 ,3 ,"1,740 ","3,183 ","2,476 ",590 ,74 ,"3,651 ",531 ,387 ,144 ,758 ,95 ,66 ,992 ,"1,209 ","2,040 ",396 ,133 ,"1,377 ",494 
E23000032,Kent,E22000143,Medway,E06000035,Medway,"31,984 ","15,151 ",2 ,15 ,"3,201 ","6,818 ","5,115 ","1,179 ",281 ,"7,264 ",997 ,770 ,227 ,"1,729 ",190 ,148 ,"1,891 ","2,309 ","3,655 ",534 ,260 ,"2,589 ","1,071 "
E23000032,Kent,E22000144,Sevenoaks,E07000111,Sevenoaks,"7,829 ","3,221 ",0 ,9 ,661 ,"1,364 ","1,187 ",245 ,32 ,"2,379 ",453 ,334 ,119 ,673 ,37 ,32 ,473 ,711 ,980 ,134 ,60 ,552 ,226 
E23000032,Kent,E22000146,Swale,E07000113,Swale,"15,484 ","7,323 ",1 ,7 ,"1,699 ","2,945 ","2,671 ",617 ,88 ,"3,579 ",646 ,467 ,179 ,656 ,65 ,71 ,"1,055 ","1,086 ","1,879 ",239 ,115 ,"1,117 ",527 
E23000032,Kent,E22000147,Thanet,E07000114,Thanet,"17,965 ","8,591 ",0 ,5 ,"1,926 ","3,789 ","2,871 ",670 ,130 ,"3,609 ",605 ,395 ,210 ,604 ,100 ,109 ,"1,044 ","1,147 ","2,241 ",496 ,137 ,"1,562 ",529 
E23000032,Kent,E22000148,Tonbridge and Malling,E07000115,Tonbridge and Malling,"8,638 ","3,710 ",0 ,6 ,811 ,"1,507 ","1,386 ",306 ,38 ,"2,121 ",360 ,244 ,116 ,438 ,44 ,49 ,581 ,649 ,"1,144 ",211 ,44 ,741 ,323 
E23000032,Kent,E22000149,Tunbridge Wells,E07000116,Tunbridge Wells,"7,890 ","3,393 ",1 ,7 ,743 ,"1,414 ","1,228 ",314 ,33 ,"2,110 ",434 ,306 ,128 ,432 ,62 ,48 ,571 ,563 ,911 ,224 ,64 ,633 ,208 
E23000032,Kent,,Unassigned Kent,,,"2,257 ","1,022 ",0 ,0 ,203 ,536 ,283 ,481 ,38 ,235 ,2 ,2 ,0 ,58 ,29 ,5 ,3 ,138 ,69 ,121 ,17 ,130 ,144 
E23000003,Lancashire,,,,,"139,227 ","60,199 ",20 ,24 ,"17,639 ","22,700 ","19,816 ","5,254 ","1,060 ","37,667 ","8,167 ","5,270 ","2,897 ","7,502 ",920 ,"1,154 ","8,161 ","11,763 ","16,987 ","2,577 ","1,430 ","10,779 ","3,274 "
E23000003,Lancashire,E22000150,Blackburn with Darwen,E06000008,Blackburn with Darwen,"15,527 ","6,742 ",0 ,1 ,"1,876 ","2,622 ","2,243 ",581 ,110 ,"4,185 ",934 ,548 ,386 ,927 ,105 ,54 ,984 ,"1,181 ","1,821 ",279 ,160 ,"1,299 ",350 
E23000003,Lancashire,E22000151,Blackpool,E06000009,Blackpool,"23,767 ","10,657 ",4 ,3 ,"3,570 ","4,078 ","3,002 ",920 ,307 ,"5,953 ","1,098 ",740 ,358 ,"1,169 ",219 ,236 ,"1,220 ","2,011 ","2,725 ",486 ,311 ,"1,889 ",519 
E23000003,Lancashire,E22000152,Burnley,E07000117,Burnley,"11,340 ","4,925 ",5 ,0 ,"1,394 ","1,851 ","1,675 ",416 ,76 ,"2,919 ",567 ,373 ,194 ,494 ,70 ,63 ,863 ,862 ,"1,466 ",241 ,107 ,920 ,270 
E23000003,Lancashire,E22000153,Chorley,E07000118,Chorley,"7,745 ","3,540 ",0 ,1 ,"1,031 ","1,319 ","1,189 ",302 ,41 ,"1,937 ",396 ,263 ,133 ,395 ,30 ,47 ,476 ,593 ,940 ,133 ,80 ,547 ,225 
E23000003,Lancashire,E22000154,Fylde,E07000119,Fylde,"4,519 ","1,849 ",0 ,1 ,485 ,707 ,656 ,183 ,15 ,"1,412 ",328 ,248 ,80 ,303 ,30 ,31 ,250 ,470 ,549 ,63 ,40 ,285 ,123 
E23000003,Lancashire,E22000155,Hyndburn,E07000120,Hyndburn,"8,448 ","3,776 ",1 ,1 ,"1,052 ","1,388 ","1,334 ",287 ,52 ,"2,167 ",478 ,326 ,152 ,459 ,51 ,26 ,520 ,633 ,984 ,139 ,67 ,778 ,198 
E23000003,Lancashire,E22000156,Lancaster,E07000121,Lancaster,"11,478 ","4,678 ",1 ,0 ,"1,392 ","1,816 ","1,469 ",484 ,70 ,"3,236 ",836 ,558 ,278 ,488 ,91 ,182 ,716 ,923 ,"1,525 ",240 ,107 ,898 ,240 
E23000003,Lancashire,E22000157,Pendle,E07000122,Pendle,"7,028 ","3,131 ",3 ,5 ,860 ,"1,067 ","1,196 ",276 ,30 ,"1,766 ",377 ,266 ,111 ,283 ,35 ,23 ,326 ,722 ,845 ,177 ,65 ,569 ,169 
E23000003,Lancashire,E22000158,Preston,E07000123,Preston,"16,621 ","6,519 ",3 ,1 ,"2,040 ","2,523 ","1,952 ",589 ,188 ,"5,146 ","1,095 ",626 ,469 ,"1,023 ",142 ,244 ,"1,150 ","1,492 ","2,034 ",309 ,194 ,"1,302 ",340 
E23000003,Lancashire,E22000159,Ribble Valley,E07000124,Ribble Valley,"2,406 ",967 ,0 ,2 ,282 ,372 ,311 ,110 ,4 ,736 ,173 ,98 ,75 ,198 ,9 ,12 ,98 ,246 ,309 ,36 ,17 ,171 ,56 
E23000003,Lancashire,E22000160,Rossendale,E07000125,Rossendale,"5,167 ","2,273 ",1 ,1 ,630 ,815 ,826 ,188 ,19 ,"1,476 ",346 ,229 ,117 ,387 ,22 ,17 ,236 ,468 ,605 ,69 ,43 ,380 ,114 
E23000003,Lancashire,E22000161,South Ribble,E07000126,South Ribble,"8,829 ","3,927 ",2 ,1 ,"1,011 ","1,480 ","1,433 ",290 ,59 ,"2,306 ",567 ,385 ,182 ,576 ,32 ,80 ,378 ,673 ,"1,201 ",103 ,92 ,637 ,214 
E23000003,Lancashire,,Unassigned Lancashire,,,"3,440 ","1,409 ",0 ,1 ,385 ,503 ,520 ,144 ,29 ,978 ,220 ,118 ,102 ,222 ,37 ,22 ,148 ,329 ,400 ,70 ,25 ,242 ,143 
E23000003,Lancashire,E22000162,West Lancashire,E07000127,West Lancashire,"5,772 ","2,571 ",0 ,3 ,759 ,958 ,851 ,227 ,31 ,"1,542 ",409 ,283 ,126 ,286 ,17 ,56 ,211 ,563 ,748 ,100 ,47 ,359 ,147 
E23000003,Lancashire,E22000163,Wyre,E07000128,Wyre,"7,140 ","3,235 ",0 ,3 ,872 ,"1,201 ","1,159 ",257 ,29 ,"1,908 ",343 ,209 ,134 ,292 ,30 ,61 ,585 ,597 ,835 ,132 ,75 ,503 ,166 
E23000021,Leicestershire,,,,,"102,738 ","40,148 ",12 ,19 ,"13,320 ","12,286 ","14,511 ","4,102 ",751 ,"26,426 ","4,629 ","3,248 ","1,381 ","6,271 ",795 ,"1,931 ","3,937 ","8,863 ","11,019 ","3,195 ",933 ,"13,751 ","2,413 "
E23000021,Leicestershire,E22000164,Blaby,E07000129,Blaby,"6,623 ","2,452 ",0 ,3 ,730 ,637 ,"1,082 ",328 ,25 ,"2,080 ",378 ,307 ,71 ,592 ,26 ,82 ,290 ,712 ,649 ,122 ,40 ,763 ,164 
E23000021,Leicestershire,E22000165,Charnwood,E07000130,Charnwood,"14,915 ","5,522 ",2 ,2 ,"1,759 ","1,577 ","2,182 ",557 ,87 ,"4,376 ",679 ,473 ,206 ,"1,031 ",84 ,464 ,866 ,"1,252 ","1,731 ",272 ,111 ,"1,914 ",345 
E23000021,Leicestershire,E22000166,Harborough,E07000131,Harborough,"5,112 ","1,907 ",0 ,5 ,592 ,567 ,743 ,184 ,14 ,"1,471 ",334 ,207 ,127 ,396 ,23 ,27 ,195 ,496 ,590 ,132 ,30 ,642 ,142 
E23000021,Leicestershire,E22000167,Hinckley and Bosworth,E07000132,Hinckley and Bosworth,"7,326 ","2,887 ",1 ,0 ,964 ,763 ,"1,159 ",243 ,24 ,"1,906 ",354 ,238 ,116 ,465 ,32 ,54 ,338 ,663 ,904 ,226 ,47 ,907 ,182 
E23000021,Leicestershire,E22000168,Leicester,E06000016,Leicester,"48,559 ","19,301 ",7 ,5 ,"6,709 ","6,414 ","6,166 ","1,797 ",523 ,"11,649 ","1,961 ","1,409 ",552 ,"2,721 ",490 ,"1,100 ","1,589 ","3,788 ","4,974 ","1,838 ",508 ,"6,963 ","1,006 "
E23000021,Leicestershire,E22000169,Melton,E07000133,Melton,"3,683 ","1,427 ",0 ,1 ,487 ,445 ,494 ,127 ,14 ,848 ,211 ,106 ,105 ,156 ,26 ,18 ,132 ,305 ,511 ,145 ,46 ,468 ,97 
E23000021,Leicestershire,E22000170,North West Leicestershire,E07000134,North West Leicestershire,"8,104 ","3,178 ",2 ,1 ,964 ,880 ,"1,331 ",342 ,22 ,"2,181 ",327 ,226 ,101 ,518 ,71 ,39 ,244 ,982 ,871 ,209 ,66 ,"1,005 ",230 
E23000021,Leicestershire,E22000171,Oadby and Wigston,E07000135,Oadby and Wigston,"3,931 ","1,663 ",0 ,0 ,526 ,489 ,648 ,137 ,21 ,"1,013 ",244 ,208 ,36 ,190 ,21 ,87 ,160 ,311 ,368 ,106 ,31 ,509 ,83 
